first	second
SEC22B	TMEM189
MPST	TMEM189
PRDX6	TMEM189
NDUFV1	TMEM189
OXCT1	TMEM189
UBE2N	TMEM189
IQCB1	TMEM189
ELAVL1	TMEM189
NADK2	TMEM189
RBM4	TMEM189
NIT2	TMEM189
SEPT11	TMEM189
PRKAG1	FAM149A
TRAPPC3	TRAPPC13
UBC	TRAPPC13
TRAPPC2L	TRAPPC13
PEX14	CNOT1
EED	CNOT1
PAK4	CNOT1
FN1	CNOT1
ALB	CNOT1
ITGB1	CNOT1
KRT18	CNOT1
UBC	CNOT1
THRB	CNOT1
VCAM1	CNOT1
ZFP36	CNOT1
NOTCH1	CNOT1
GTF2A1	CNOT1
NANOS2	CNOT1
NANOS3	CNOT1
GRB2	CNOT1
BTG2	CNOT1
POU5F1	CNOT1
SNW1	CNOT1
RNF219	CNOT1
TMEM173	CNOT1
CCAR2	CNOT1
TNRC6A	CNOT1
NANOS1	CNOT1
CNOT6L	CNOT1
CDC5L	CNOT1
EPAS1	CNOT1
LGR4	CNOT1
CCDC8	CNOT1
NANOG	CNOT1
SPON1	CNOT1
TNRC6C	CNOT1
DCP1A	CNOT1
SIRT7	CNOT1
CNOT2	CNOT1
CNOT7	CNOT1
FBXW11	CNOT1
AGO2	CNOT1
CNOT6	CNOT1
PPP6R1	CNOT1
TNRC6B	CNOT1
USP22	CNOT1
UBC	ARHGEF35
ELAVL1	ARHGEF35
HOMER2	MEGF11
GULP1	MEGF11
CDC42	BDP1
CSNK2A1	BDP1
POLR3F	BDP1
PLEKHA5	CCDC88B
UBC	GOLGA8O
ATG12	MAP1LC3B2
ATG7	MAP1LC3B2
UBC	MAP1LC3B2
MAP1LC3B	MAP1LC3B2
ATG10	MAP1LC3B2
ATG3	MAP1LC3B2
ATG4B	MAP1LC3B2
NUDCD3	KLHL33
NXF1	ANKRD33B
RNF2	RNF222
CSNK1A1	FAM83G
SMAD3	FAM83G
SMAD2	FAM83G
SH3KBP1	FAM83G
MOV10	FAM83G
NXF1	FAM83G
ELAVL1	OR14I1
PGLS	ASPDH
YWHAE	ASPDH
YWHAZ	ASPDH
EED	PALM3
SIGIRR	PALM3
PSMD14	PGP
CHEK1	PGP
KPNA5	PGP
SEC22B	PGP
UBC	PGP
MTHFD1	PGP
PRKACB	PGP
ATP6V0C	PGP
LIG4	PGP
PSMD4	PGP
CNBP	PGP
ARFRP1	PGP
PPA1	PGP
RBBP5	PGP
H2AFV	PGP
RAB6B	PGP
CDC23	PGP
UBC	TRIM49B
HSPB1	TBC1D3B
UBC	C5orf51
ELAVL1	C5orf51
CAMKK2	C5orf51
ATXN1L	TMEM8B
EZR	TMEM8B
UBC	PABPN1L
YWHAE	BTBD17
RAD51	BTBD17
FTMT	BTBD17
FBXW7	WDR97
UBC	RCCD1
NUBP1	RCCD1
FYCO1	RCCD1
UBC	PLEKHD1
YWHAE	TBC1D3F
UBC	TRABD2B
TADA2A	HELT
HES5	HELT
HEY2	HELT
WDR92	ZNF316
ZNF148	ZNF316
ATG5	DPRX
KRT31	C5orf60
KRT40	C5orf60
GMCL1	C5orf60
KRTAP3-2	C5orf60
UBC	PRAMEF14
UBC	NEMP2
WASL	WIPF3
GRB2	WIPF3
DNMBP	WIPF3
SUMO3	CCDC160
UBC	MROH6
STX16	TVP23A
UBC	DDTL
UBC	ZNF860
SHMT2	ZNF860
NXF1	ZNF860
ESR1	TUBAL3
HSP90AA1	TUBAL3
UBC	TUBAL3
SHC1	TUBAL3
ATG16L1	TUBAL3
ABCF1	TUBAL3
RNF2	TUBAL3
UVRAG	TUBAL3
HIST1H1C	EPOP
GTF2E2	EPOP
MYH9	EPOP
PRPSAP1	EPOP
CPSF6	EPOP
INTS3	EPOP
NEK9	EPOP
MOV10	EPOP
NXF1	EPOP
MTF2	EPOP
OBSL1	SMCHD1
EED	SMCHD1
FN1	SMCHD1
UBC	SMCHD1
ITGA4	SMCHD1
VCAM1	SMCHD1
NOTCH1	SMCHD1
SUMO3	SMCHD1
SUMO2	SMCHD1
YWHAE	SMCHD1
SUMO1	SMCHD1
POU5F1	SMCHD1
SNW1	SMCHD1
CUL7	SMCHD1
TMEM173	SMCHD1
CDC5L	SMCHD1
RNF2	SMCHD1
BARD1	SMCHD1
LGR4	SMCHD1
FOXP3	SMCHD1
UBA5	SMCHD1
CCDC8	SMCHD1
SIRT7	SMCHD1
FBXO6	SMCHD1
HECW2	SMCHD1
USP38	HMX3
STAMBPL1	HMX3
UBC	CASTOR2
UBC	POTEM
PSMA3	CCDC69
MAP3K20	CCDC69
IGF1R	UNC119B
ARL3	UNC119B
SRSF9	UNC119B
MOV10	UNC119B
NXF1	UNC119B
RBM8A	UNC119B
HSPB1	AGAP5
FUS	LRRIQ4
RARA	WTIP
ELAVL1	IGIP
UBC	METTL15
CUL3	METTL15
TRIP13	METTL15
MEOX2	PRR19
UBC	UNCX
FASLG	RIMBP3C
RELA	ACOD1
UBC	ZNF233
SCHIP1	ZNF233
GSPT1	LIPT2
ATP2C1	LIPT2
KMT2A	ASB14
UBC	ZNF98
UBC	TSPY2
RASSF10	CCDC85C
RASSF9	CCDC85C
CRYAB	CCDC85C
CCNC	CCDC85C
PPP1CC	CCDC85C
YAP1	CCDC85C
METAP2	CCDC85C
BLOC1S1	CCDC85C
SF3A3	CCDC85C
TP53BP2	CCDC85C
SIX1	CCDC85C
APPBP2	CCDC85C
PBK	CCDC85C
PPP1R13B	CCDC85C
LATS2	CCDC85C
CNOT11	CCDC85C
PLAA	CCDC85C
IQCB1	PCP4L1
UBC	RGPD3
SUMO2	RGPD3
UBC	TTC36
HPD	TTC36
UBC	RFPL4A
DDX58	TMEM210
UBC	GOLGA8J
MEF2C	LRRC37A
UBC	ZNF726
ATXN1	NUTM2B
UBC	USP27X
USP22	USP27X
UBC	ZNF716
DCC	KNCN
LYN	LRRIQ3
DLG4	BTBD11
UBC	RTL8C
ITSN2	GOLGA8A
AURKA	ZSWIM8
ATXN1L	ZSWIM8
UBC	ZSWIM8
NOS2	ZSWIM8
CSNK1E	ZSWIM8
YWHAE	ZSWIM8
CUL3	ZSWIM8
SIRT7	ZSWIM8
SP1	MYH7B
SMYD1	MYH7B
ESR2	MYH7B
GABARAP	ARHGAP32
SFN	ARHGAP32
CTNNB1	ARHGAP32
ARRB1	ARHGAP32
ATXN1	ARHGAP32
PTK2	ARHGAP32
GRAP	ARHGAP32
DZIP3	ARHGAP32
CAMK2N2	ARHGAP32
MDFI	ARHGAP32
GABARAPL1	ARHGAP32
NXF1	ARHGAP32
CAMK2A	ARHGAP32
ANKRD28	TBKBP1
UBD	TBKBP1
UBC	TBKBP1
CALCOCO2	TBKBP1
IKBKE	TBKBP1
RB1CC1	TBKBP1
CEP250	TBKBP1
AZI2	TBKBP1
LATS2	TBKBP1
TBK1	TBKBP1
NEK9	CRAMP1
CELF3	SOBP
RPGRIP1L	SOBP
NDN	SOBP
YWHAG	ZNF839
YWHAE	ZNF839
YWHAZ	ZNF839
WNK1	ZNF839
UBC	WASHC1
MAPK8	WASHC1
WASHC5	WASHC1
SQSTM1	WASHC1
STAT4	WASHC1
WASHC4	WASHC1
EXOC4	WASHC1
RNF2	WASHC1
WASHC2C	WASHC1
ACTN4	CAMK2A
MPDZ	CAMK2A
ACTN1	CAMK2A
PPM1F	CAMK2A
GRIN1	CAMK2A
GRIN2B	CAMK2A
CDK5R2	CAMK2A
LRRC7	CAMK2A
CAMK2N2	CAMK2A
TANC1	CAMK2A
DAPK2	CAMK2A
AGO2	MLF2
PSMC4	MLF2
HSPA1A	MLF2
HAX1	MLF2
IRS4	MLF2
GNB5	MLF2
PSMD3	MLF2
PRPF6	MLF2
RAF1	MLF2
ERBB2	MLF2
GNAZ	MLF2
ERCC3	MLF2
UQCRC2	MLF2
DNAJB2	MLF2
MCM7	MLF2
NLRP12	MLF2
ETF1	MLF2
PSMD2	MLF2
SIM2	MLF2
RCN2	MLF2
SETDB1	MLF2
STK11	MLF2
KLHL38	MLF2
TSSC1	MLF2
GNB2	MLF2
CALU	MLF2
CYFIP1	MLF2
GET4	MLF2
HUS1B	MLF2
KAT5	MLF2
DNAJC7	MLF2
TSSK6	MLF2
WDR55	MLF2
